PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.31467903,0.49730006,0.22622593,0.21362646,0.114413746,0.16681765,0.11580921,0.26607317,HCHe7BLnzpE
0.5178571,0.19362678,0.068984315,0.05373499,0.044318188,0.04030348,0.0375432,0.061835017,a1NT7aWr_ow
0.3130407,0.68017054,0.21160021,0.2835225,0.056402303,0.123464555,0.07986723,0.06075115,S0Otk5ua9kw
0.1982264,0.38826784,0.28157118,0.06492286,0.0951787,0.0837018,0.09167673,0.11687345,PiJkRJgjFBs
0.041229654,0.40725493,0.5720957,0.052136723,0.14252439,0.2313541,0.19656298,0.16629727,Q_dpP6MyWQA
0.39149544,0.35263744,0.10580896,0.08420804,0.015760599,0.0503954,0.026770907,0.03081446,u6MtOor1aU8
0.09109953,0.3674628,0.17485426,0.15451296,0.06563515,0.08619764,0.07744578,0.060540486,6SKkS_1geZ0
0.10864551,0.23473778,0.06746948,0.26132804,0.020627983,0.047140747,0.032487698,0.03059771,oufXsVM1oIQ
0.124262996,0.286776,0.07710888,0.0038352364,0.030517204,0.05985636,0.03492858,0.07723748,cYaWGIvcOVY
0.107355714,0.24827698,0.0995858,0.038911518,0.034158293,0.046842653,0.03252802,0.04355537,K-efsa6XdUs
0.080760665,0.22993192,0.15198909,0.0753116,0.018707307,0.038880665,0.024195038,0.024857225,599uU5TSqnY
0.42999285,0.19984505,0.11456607,0.2008281,0.13268037,0.057732627,0.10788636,0.13838786,V95RFYztT20
0.051196598,0.3935893,0.2766728,0.0053450353,0.2524763,0.11532484,0.21085763,0.265811,eexXC3tDbfI
0.43803197,0.28022367,0.2284618,0.23891698,0.4361407,0.089201696,0.21348365,0.18253201,wy2-3BxdtYY
0.18626131,0.30840313,0.18461345,0.06252546,0.13820207,0.110000566,0.10259437,0.2828046,oQYOe85USNE
0.13321137,0.2498092,0.087021686,0.06851897,0.042398132,0.0524881,0.038472656,0.053047456,1gTJQOChf94
0.26648965,0.21525027,0.10029648,0.027237365,0.05842417,0.07162951,0.07653241,0.068779245,jyFbSSVXgGw
0.23450874,0.15945086,0.0593109,0.040971663,0.016682697,0.03315137,0.024456829,0.022818333,QPTVz9at9pI
0.117632106,0.3762487,0.24893352,0.08689302,0.0825623,0.11219714,0.08074794,0.07629149,uDWxKQ-vHbU
0.28686658,0.38166347,0.36538598,0.28683078,0.42983198,0.09988357,0.19953394,0.312935,Gu6eyI26D84
0.43960625,0.29264966,0.12636077,0.068918526,0.03160851,0.037838664,0.027201567,0.039080128,gl0VUHLJuls
