PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.030915003,0.049019866,0.04008056,0.04268845,0.058992524,0.037713617,0.09426162,0.33431873,fPjgmLxxZWo
0.027572965,0.057661593,0.030140296,0.027752401,0.040239535,0.025687454,0.07263397,0.16509473,0_GbBHXe8aA
0.013725437,0.10736498,0.016871082,0.05653196,0.066258065,0.015397422,0.057398498,0.16945904,hqXYyiUZwFU
0.062956914,0.0075901765,0.0584387,0.0006594524,0.04527994,0.08803643,0.12707587,0.3457471,s8gpFXiLKoo
0.01612051,0.066114835,0.0168906,0.043375164,0.015605921,0.028027626,0.12472071,0.30939922,VRvQSwb2hMA
0.03380155,0.11658192,0.031922415,0.10699297,0.028291095,0.050390057,0.16243401,0.35947135,4T3EiG-0T2U
0.0193584,0.045678746,0.026709005,0.07371333,0.032471694,0.023795508,0.052888814,0.15430075,gmAiVJpSSwI
0.09951882,0.10785042,0.11578686,0.11407687,0.05604318,0.19653244,0.25717768,0.47848722,vYlBmZRsz3M
0.3497504,0.46450433,0.26113752,0.26589394,0.3756884,0.078606255,0.25072777,0.22905065,SKylm9jMYIw
0.11335158,0.043239474,0.048771918,0.05373499,0.048078615,0.080424204,0.13745427,0.40981942,G98LvLh-PzE
0.027806126,0.09448464,0.024477916,0.092262976,0.03659661,0.022689559,0.075137645,0.15429577,SnChAtCsplA
0.09770615,0.06473659,0.030882815,0.064523295,0.04581327,0.036225926,0.19722366,0.22920954,eFGfz3-lTj0
0.19087079,0.05055678,0.121339604,0.008364634,0.14165437,0.08654645,0.27951506,0.46126288,HmifI5zJa7Y
0.20342536,0.0738521,0.10067689,0.1414913,0.12125235,0.1095494,0.30286703,0.35602596,ZkFQ8bxRvno
0.06691603,0.08981019,0.06494539,0.079307266,0.07558401,0.08303312,0.09210441,0.26371118,SnpNLZytQPs
0.19623657,0.026918277,0.105422705,0.08170467,0.16613698,0.09780375,0.27458954,0.42948315,KqByyAcXwFU
0.19928369,0.1763385,0.33519837,0.17173064,0.20442595,0.13181101,0.26605424,0.34095776,RBiripNqbJA
0.38997388,0.015861247,0.18659657,0.083939545,0.23591672,0.15231921,0.62255234,0.562903,PyAVdjLwqqI
0.12612537,0.010254942,0.1476968,0.014438537,0.083388686,0.23638391,0.2740542,0.35403955,N8rwJySRiVk
0.028449658,0.10885694,0.03259758,0.087430015,0.043070726,0.022735443,0.06666479,0.16244107,y8f7CVc0A88
0.41593578,0.09332661,0.30356964,0.040971663,0.29149294,0.15929165,0.88942176,0.45693824,bOwuAuButm8
0.123979576,0.40666178,0.18913792,0.21627559,0.1768322,0.19122271,0.25152564,0.38670835,39YUWgsr2YM
