PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.59418786,0.09962908,0.14764057,0.21270193,0.0041476088,0.18627422,0.0496316,0.057852246,nBaXKPsg4F4
0.44925308,0.1402721,0.55866784,0.13489899,0.009857078,0.035392724,0.16995716,0.13132966,SbvJfkpaJ0Y
0.3231269,0.041884407,0.09668105,0.04022475,0.012494888,0.30514193,0.08422235,0.055006668,JBI72u22QMc
0.55690104,0.31292897,0.7606379,0.15197854,0.0039046525,0.106977195,0.4320037,0.52333707,Cnlw7-1-1uI
0.34313518,0.09614327,0.2385942,0.057087958,0.011800728,0.24730094,0.12813596,0.07333115,GywZl0VlXjE
0.37526643,0.07550215,0.24093859,0.090148054,0.032387726,0.17391622,0.12821133,0.068024434,jfxWfKgP4VQ
0.19960204,0.04181693,0.061314926,0.037507143,0.14193995,0.37274054,0.045111295,0.10129848,mTPTrQSir-k
0.36012408,0.17506775,0.16789706,0.1348511,0.2712817,0.2474374,0.1918393,0.29191533,VQQ8FDfD5q4
0.36406592,0.048143253,0.23625779,0.09426251,0.0057962397,0.17812067,0.028929211,0.06050068,JZVzjriV9_M
0.2517175,0.06320177,0.22025698,0.053689145,0.0253489,0.32414785,0.060319357,0.0988204,o0SWE_jio-Q
0.3726164,0.06429643,0.14910124,0.098827355,0.040284947,0.3080401,0.05046269,0.06283249,iIfbJz9ethQ
0.44676837,0.07739181,0.25600353,0.060944945,0.09763293,0.07085939,0.08544715,0.21108684,OKBCQAK_wes
0.48296967,0.23678888,0.59154433,0.08646322,0.16620636,0.38512778,0.34780446,0.44863647,5KOIp5630O8
0.36496127,0.09699157,0.18468456,0.1292768,0.018187003,0.16902061,0.03717166,0.0657913,Ehd2jApxaq4
0.4328572,0.07411564,0.1993033,0.06502577,0.013883209,0.023473049,0.056902774,0.074666776,7QjAt4Uy7bs
0.26217574,0.088303305,0.14553149,0.06622581,0.027409043,0.26662874,0.14332123,0.095991835,0KzXcZpQbyc
0.33067417,0.24788952,0.5460724,0.17210078,0.14597784,0.41265336,0.41149965,0.47447795,6stDVMOW8QM
0.26193455,0.029236637,0.14518563,0.031096984,0.019852988,0.45100874,0.028757194,0.072695516,lD8I_rkJrkU
0.3572088,0.072944,0.196038,0.06000457,0.03358948,0.0401662,0.052809067,0.112379424,T6XSrQiH3wM
0.29884848,0.036022775,0.265913,0.052459612,0.068918526,0.34397423,0.043805797,0.11402091,Lp4vDryggjw
0.29751787,0.062379595,0.40395916,0.056851376,0.022945397,0.057032526,0.042817418,0.13778271,VdRIbY37fww
0.37260193,0.14203449,0.11388358,0.2166397,0.059328925,0.08435668,0.095158935,0.11611298,hFpYHlq4nfA
0.2989576,0.016809134,0.04144647,0.038782284,0.01228664,0.11878881,0.029142398,0.03937964,cwlFJffAZM4
0.38617072,0.19607732,0.52266455,0.19618414,0.06252546,0.13253434,0.1183228,0.15207885,N1-bCj4InD0
0.34765106,0.0656825,0.22566104,0.0666615,0.033932835,0.023466306,0.07258134,0.1964205,qO-pKYzcY_8
0.37373075,0.09144632,0.21816927,0.068577535,0.029125832,0.14698946,0.045407284,0.04093233,dMZUZJUk-sg
0.54820377,0.09484656,0.19501004,0.10081951,0.004963247,0.08124133,0.08631996,0.06865156,F37maFg6WDs
0.26859358,0.04655142,0.21800032,0.063935935,0.005275619,0.20164864,0.02521992,0.051323876,A0yjzSp_Lc4
0.39857954,0.075224616,0.3007317,0.07134432,0.17661177,0.17593068,0.13316305,0.23859061,mWziPCrfjfw
0.2511572,0.14160956,0.17014675,0.0701537,0.016521018,0.21912634,0.15849994,0.14302453,RFIh5X_yP54
0.40117052,0.11857212,0.623099,0.07638298,0.0095794145,0.15376998,0.14643341,0.2570764,iZHccKIRR3Q
0.66262734,0.09637095,0.2993934,0.079493545,0.03358948,0.0064882333,0.11680337,0.17019187,9K_HwAPpK3Q
0.35665852,0.05488522,0.19568016,0.09775307,0.007670473,0.14798072,0.050910074,0.07293122,w3gUePCupkc
0.44579038,0.1681359,0.23756704,0.17528121,0.024662184,0.09046468,0.14750253,0.095357105,5_TN7_-bUdQ
0.28665072,0.09795778,0.27063563,0.05219917,0.008121678,0.2474809,0.108822815,0.13474543,VF2RKhE6dGM
0.28427154,0.0066547273,0.014008834,0.028982727,0.022351967,0.10561202,0.016201708,0.0094211865,BNplm3Zevk4
