PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.37287915,0.04668533,0.03147126,0.041524094,0.15042676,0.27867797,0.095957145,0.03285303,AD77FRdxQTk
0.13598497,0.10470421,0.09759303,0.097941615,0.10956893,0.43571874,0.25632983,0.106757745,hOhw1ywSBP0
0.09002062,0.09296541,0.061293337,0.14301951,0.2752517,0.3056272,0.19472271,0.09946987,lxCntM0J7SA
0.17380537,0.15403984,0.11419941,0.22273478,0.032387726,0.365688,0.31674156,0.19376169,UbqZa09xYGU
0.11638413,0.04258865,0.03817294,0.059559416,0.032387726,0.3507832,0.283097,0.05799649,rrBtiXQsXXQ
0.099464625,0.03499459,0.03291673,0.03190765,0.011523063,0.37694144,0.105533384,0.025452599,U6S-7vTvesA
0.4511488,0.11696831,0.041565403,0.042650163,0.022945397,0.25285855,0.12619178,0.052777804,Rz9ZGm_yfAI
0.119703434,0.12521148,0.0942519,0.16992643,0.022351967,0.3731525,0.48966467,0.18223187,Fnx1j9F7-KA
0.18359372,0.052375022,0.07737933,0.09205715,0.14014533,0.34578457,0.1561757,0.06395106,3jNaApDurEU
0.49538493,0.10368723,0.11856559,0.14958045,0.087430015,0.37705407,0.556601,0.17290814,k4m9oj-QeOU
0.36268017,0.10967677,0.21806625,0.25310847,0.2299237,0.5083669,0.36170188,0.20150946,aBCSp0o3SSs
0.04232358,0.15512292,0.10657341,0.13399224,0.09118898,0.356651,0.6543643,0.15073505,M6R6uvQMPzw
0.3825922,0.3077731,0.26496,0.15049343,0.30187345,0.43274435,0.3320598,0.27891418,UjxeYi5U4V8
0.14950469,0.042506956,0.03453618,0.05646684,0.14418322,0.21273799,0.09860492,0.053636424,ieHEx9Hjo-Y
0.19267534,0.051897686,0.07810878,0.10553542,0.09924392,0.35389784,0.15440808,0.06882854,v7UIhCsx_yM
0.34024253,0.01440937,0.016637605,0.025794571,0.025863936,0.2289631,0.034006894,0.017963987,dKojutdHuG0
0.31809855,0.073721424,0.12816513,0.09269997,0.17242117,0.38128692,0.15198995,0.11115811,dssK0RyJ6Qw
0.70798457,0.18935852,0.4494484,0.13719685,0.52368855,0.48541197,0.21955886,0.16328211,U7C-XJpgFLw
0.1514462,0.042100143,0.046797473,0.066028096,0.018464668,0.29927602,0.096011385,0.0548957,yLgnkCvuFWQ
0.2638682,0.008959748,0.010413321,0.015181742,0.040284947,0.2301528,0.027463565,0.007673489,m7oZ38Qg8Tw
0.15647428,0.1897822,0.118199684,0.0741732,0.11472086,0.37979966,0.26776278,0.0833282,ZeGva3KUkXQ
0.65021473,0.12129435,0.1570613,0.12234686,0.025692256,0.46934384,0.22014982,0.11527055,qHB3WzgEQ7A
0.07338475,0.057146873,0.06435695,0.054269843,0.040971663,0.45196858,0.5431423,0.06517892,In0NfhC7b5E
0.3058341,0.052894857,0.055212744,0.07975077,0.02262963,0.3164541,0.28851604,0.10248195,tJLKcLPiqLE
0.19031969,0.05777199,0.034608204,0.06279858,0.02193547,0.359051,0.11485079,0.03807418,PRIi7OdklJc
0.07045352,0.5193765,0.17553727,0.09500111,0.018742332,0.3613214,0.36772308,0.10960899,zNUh3kOBwYI
0.08839992,0.12481778,0.08801121,0.1214199,0.112788886,0.49932042,0.24311173,0.06756116,qxvQ-3ZoqgU
