PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,video_id
0.22588678,0.02863475,0.057476476,0.0023427915,0.023306144,0.03674149,0.055959057,0.12654993,gYARTux-LE0
0.35068288,0.041006006,0.4116657,0.013258465,0.059254985,0.031210253,0.17950384,0.03658641,RNBjkQ5x_p8
0.3137286,0.10176345,0.7884978,0.17661177,0.16843367,0.025544113,0.18898788,0.43757337,gnTGoch_aDo
0.28851604,0.040468466,0.46558806,0.09602194,0.059334192,0.027471859,0.062404014,0.31400564,RvWP5_aWlsM
0.3824694,0.19179846,0.4810754,0.080905534,0.25427756,0.15249568,0.27650285,0.3971727,FbuJ69uChjU
0.32930592,0.042736303,0.24364053,0.012564304,0.027361184,0.05952397,0.08155187,0.22881083,2q7v3AnQUNo
0.5960875,0.21764006,0.84089696,0.18647896,0.30410805,0.16079915,0.32695195,0.22338131,cZKb7-Ar6pc
0.35316026,0.042659465,0.39735654,0.01263372,0.06484598,0.0263561,0.18843205,0.07243858,FHGf4FCApok
0.6081764,0.30823874,0.80846214,0.2995453,0.3752366,0.5681254,0.50170714,0.3168975,cOlFPsZMMfw
0.43354166,0.2348446,0.8793543,0.28021416,0.40266046,0.07918125,0.48671445,0.43716222,kY3s9XApif4
0.30236962,0.10132759,0.801178,0.17518331,0.1731929,0.02489368,0.19011489,0.47676274,YiWcwbrZX5M
0.29132718,0.06215183,0.52563024,0.090114996,0.11186741,0.022794016,0.14641033,0.27853706,26f42tQdvDw
0.23884471,0.03095378,0.056982476,0.031357653,0.025055785,0.04201451,0.043175112,0.18812375,KEj-Y36krXc
0.23607142,0.023222184,0.05068454,0.024318827,0.016813276,0.03814951,0.023169609,0.1811679,WEJ9GSzaXTU
0.6037138,0.7964889,0.5287929,0.7593913,0.6311759,0.52411056,0.39856064,0.35219422,MyhK9hP_qgE
0.24814868,0.015600653,0.0498648,0.010342991,0.0279526,0.01872562,0.0426634,0.15955582,GZMdt1RDGVE
0.32923475,0.062348843,0.12717715,0.10892494,0.07534402,0.067200005,0.16752948,0.21935745,4ceTEPzcgVQ
0.35309228,0.039079886,0.3946048,0.013397297,0.05682116,0.029173357,0.17177708,0.067639515,NOY81-m70gA
0.22418135,0.19050215,0.8734015,0.1510105,0.15181352,0.03580681,0.30317086,0.27423504,5DpauioXOt0
0.25826728,0.101436965,0.55522287,0.04818217,0.10787617,0.047291346,0.15187652,0.22302005,hOZbNjVWdKU
0.4668773,0.34440565,0.8908898,0.2008281,0.32330015,0.1437308,0.6634971,0.26174942,-nuY5ie26RI
0.28542048,0.086137466,0.7091856,0.12309273,0.114595525,0.023662928,0.16011886,0.2781253,WBrbTP3LeKw
0.44333386,0.045050178,0.41708717,0.000776592,0.039458018,0.050603736,0.0583492,0.083861746,APoj5NpzOA8
0.29255188,0.015909571,0.037177607,0.00022885602,0.019148534,0.028414076,0.033338577,0.03923778,ThbnPuu9SSs
0.26561734,0.07646308,0.5169451,0.12309273,0.11554451,0.0254721,0.1388106,0.26641855,zb_fdoe2Id8
0.3405953,0.12751262,0.703732,0.17449278,0.15359041,0.055021435,0.17811272,0.58445626,ix3En1qKJNI
0.37793493,0.24693292,0.8763936,0.2008281,0.29459697,0.07305205,0.46764046,0.2717132,4pbTV2_N1Sg
0.33827156,0.064286664,0.4961345,0.064523295,0.058727294,0.022664288,0.095531344,0.21113786,1IqxUY14l8I
0.26856205,0.02320383,0.0700545,0.008572881,0.036672067,0.0216714,0.055808462,0.1989355,ZgWVH_KF8Dk
0.20896508,0.027886821,0.052950144,0.2712817,0.14156641,0.022658776,0.14712365,0.5974167,Pw1a0ZCWxHs
0.3108895,0.109109044,0.6933685,0.13969667,0.11099843,0.035872977,0.15775174,0.35210922,bhm0cBiSF6Y
