PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.054849364,0.064605124,0.13145806,0.17798397,0.0726758,0.4234478,0.0131890485,0.14616586,fk0xjeNxHbE
0.058499563,0.050415877,0.065006144,0.12888843,0.06806565,0.21686006,0.030670939,0.18686254,EcJ7KjLfMfc
0.057755765,0.06449562,0.19317365,0.15837085,0.061992545,0.274224,0.01721518,0.14355321,vEOgsRUnWdU
0.22186607,0.16811016,0.30508074,0.8763936,0.1516169,0.42068172,0.13655609,0.25038353,Ys8txD6r18g
0.23005742,0.22871275,0.16408001,0.2604351,0.39922783,0.5828109,0.22983712,0.16452804,GjoAzB5HJtU
0.3098185,0.37281817,0.6313076,0.91432226,0.13561624,0.3182776,0.37360558,0.5620284,BjFllXhAP5Y
0.22641207,0.23925316,0.28254387,0.83643264,0.062143452,0.36403418,0.0789077,0.19688532,gepaRTrSdO8
0.14685442,0.22990946,0.3035804,0.8763936,0.031957667,0.36116478,0.0801064,0.25185952,3tLvs0vShOE
0.110690035,0.14099883,0.23694082,0.64209205,0.049667038,0.284962,0.10515087,0.037344545,_6gb7ds8nFs
0.033662993,0.029438742,0.03220375,0.055547405,0.061231945,0.24403651,0.012911384,0.2679214,XxRdV0Vftrk
0.045722723,0.048463587,0.049861997,0.3111622,0.06374017,0.33757418,0.04543531,0.26326787,a2Quq71FeQs
0.228817,0.3679902,0.37104094,0.5862248,0.17466682,0.50480163,0.1785852,0.093767755,goiz-jO6bCY
0.044094127,0.047651574,0.0374021,0.07367912,0.06692096,0.24677886,0.023117077,0.20852347,Mij7Sh0KeOo
0.06884123,0.08461225,0.08354385,0.22818074,0.108116806,0.49118224,0.09333697,0.13655871,IMaUIbLdT9U
0.30984938,0.32379675,0.51423997,0.9664865,0.06145473,0.23014449,0.09816993,0.48402265,O9dP-sWm1kM
0.16614813,0.11358546,0.12539342,0.8133764,0.027507816,0.23324521,0.017492844,0.36604983,K-qQm0zxOyo
0.13044715,0.12502411,0.12975617,0.6994897,0.06009213,0.28165025,0.039254878,0.06523013,wbksnMdz0wI
0.0641527,0.08456721,0.116759256,0.2798803,0.084922805,0.2729981,0.044748597,0.35860407,p8blOqK90PM
0.040265214,0.04258721,0.05237848,0.073557906,0.039476085,0.1829365,0.012356056,0.18726923,qsvsT7nOKvQ
0.015488611,0.015555621,0.0045097535,0.108427845,0.03657637,0.3159738,0.089041,0.1178799,UCtKd1LClHs
0.10917669,0.05893874,0.08054375,0.08289179,0.16273284,0.77355015,0.021380141,0.0010903188,BeTurYZuY4A
0.17644674,0.18973655,0.29570124,0.82345974,0.09140836,0.44730493,0.103539884,0.08471461,G2vkwnFepe0
0.06737638,0.12202446,0.16318038,0.34249622,0.07790544,0.46592066,0.18253209,0.26470342,Peajsl3qd4U
0.055865854,0.033798475,0.056109447,0.09160483,0.09592491,0.2467655,0.035477944,0.24784131,z1P2RNZNcsM
0.15529153,0.12400274,0.09336817,0.265891,0.17810345,0.42804477,0.16551583,0.19029461,BzPCUjiwAPo
0.02450401,0.028093502,0.037540022,0.25126347,0.031652573,0.20930663,0.037023053,0.2726662,ZEclJhdcOzk
0.18381265,0.20072982,0.23644151,0.8072722,0.07176978,0.3216781,0.043031808,0.32330573,t5M2hDE3WVo
0.13852555,0.11473576,0.14223857,0.84706545,0.13847081,0.42326456,0.089577995,0.1896971,FuDHZ7u2DCA
0.03617089,0.0466457,0.030214395,0.07749301,0.05818131,0.2720087,0.015826859,0.42796507,m2O534ZL04w
0.3193071,0.2643799,0.413133,0.7803799,0.1637141,0.4253229,0.052935857,0.0013796684,ZqObtA5euww
0.15046562,0.17251953,0.24584918,0.7688398,0.067766026,0.47013223,0.08447654,0.020980947,PfcBukmWByM
0.1742679,0.20982689,0.31312367,0.8536963,0.059195634,0.37542433,0.22510603,0.2528237,W2l8QUSrT0A
0.1514549,0.1196216,0.11436659,0.71504104,0.046511076,0.24697095,0.06412373,0.4489056,m2ysBhvm6XE
0.038314436,0.02846327,0.037046615,0.12575339,0.04238446,0.21721253,0.021380141,0.10268378,SPyMlTdYCqQ
0.13679118,0.12005594,0.16687447,0.13997473,0.076851785,0.23329426,0.006282152,0.024074338,V-XR55ZAF-Q
0.03032425,0.020066006,0.023678713,0.060057323,0.041209128,0.1778557,0.15159425,0.18702427,OSITTsFjIl8
0.033347547,0.023740258,0.029266967,0.055684846,0.04351436,0.16147374,0.012841969,0.11519537,MjcYPlcAO6Q
0.094652764,0.07714383,0.038886912,0.45390707,0.0667899,0.2783046,0.09065199,0.053921036,DhRWMr04bJs
0.23525928,0.29700613,0.37382776,0.8908898,0.08171634,0.39109495,0.09709594,0.3650868,u4IaQGZoihc
0.108522326,0.11646369,0.059292443,0.6355186,0.048072983,0.32305217,0.0741129,0.23529033,dsG0_k4Gbys
0.21801062,0.24815805,0.37214303,0.8763936,0.08219649,0.41141897,0.23014031,0.10005377,zI1oBTRZfSA
0.30742744,0.39899397,0.4239228,0.880376,0.08809629,0.3195909,0.2818683,0.10042708,2w7hKlxz-t8
0.054400083,0.029576829,0.07167211,0.27745444,0.088864714,0.38694292,0.112788886,0.08504739,kc-OPynxnDg
0.042437274,0.041477975,0.036243137,0.28513837,0.03117132,0.33366296,0.061726328,0.4508169,P-nwlNRyCI4
0.07154048,0.058585726,0.05601884,0.36879733,0.06536913,0.26375586,0.13431281,0.26514786,zpZ95u3x58E
0.090906575,0.10085684,0.08017711,0.5078786,0.044433486,0.24200702,0.03204437,0.350853,N4Cv3ISk24M
0.21282598,0.32914096,0.58523935,0.9533248,0.06353904,0.3294981,0.2406723,0.23249754,gaSS5FP2VSs
0.10243085,0.068530194,0.1315907,0.35844496,0.22309558,0.5934684,0.008954669,0.11928309,9u56d3rO0B8
