PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.13188906,0.44693476,0.10763696,0.20756665,0.6854088,0.16999498,0.44678777,0.28056684,rPFZY8lhTeI
0.18822595,0.34219792,0.21804169,0.42677,0.27009583,0.20150991,0.22408155,0.4435781,I7kHgZr3A4M
0.32407522,0.49030897,0.09816993,0.31378907,0.70287913,0.015254168,0.5554053,0.2960606,aQslUmJ2agA
0.06727679,0.28480437,0.10031791,0.1304275,0.097027004,0.30236122,0.27294815,0.25810564,uTH5qr60da4
0.030860348,0.39551395,0.15684792,0.11021964,0.086350344,0.27500725,0.26310107,0.4691579,tnffO8kfT3k
0.19715224,0.32719132,0.09333697,0.2771095,0.43726128,0.16289653,0.45896563,0.30201152,hCApTJ4_qKs
0.23824811,0.23688193,0.18055865,0.31340265,0.45006016,0.15198664,0.33147958,0.35655135,O57UrDnF8iM
0.099984586,0.18967246,0.1550967,0.23927563,0.37503982,0.26898217,0.2567316,0.34517884,W3Mz0a3SzpQ
0.04301898,0.25528473,0.17518331,0.09726356,0.09842122,0.41607675,0.3072485,0.37475997,nsNNsfEX324
0.08437229,0.23109014,0.14911842,0.12512559,0.21433033,0.18970104,0.35967818,0.18322204,xsOO0V1S9WM
0.05139311,0.4824175,0.3123962,0.15910369,0.13054301,0.48995438,0.29344606,0.5621263,YueTkgsFsBU
0.17915903,0.26366755,0.35642847,0.3106752,0.24166551,0.007871192,0.32028523,0.4162062,htNMYsKYnnE
0.063736334,0.3570286,0.044405237,0.14321902,0.21843077,0.26799807,0.24951008,0.23809136,O0UeoV8qG_I
0.164241,0.3408683,0.09279997,0.21240605,0.28887403,0.19924459,0.34090605,0.21803038,Fh4djFZ3RNc
0.13682751,0.27068973,0.04543531,0.22291718,0.16924393,0.24216527,0.25153384,0.35228267,jv37qeSOAwM
0.20929733,0.5714137,0.02193547,0.38222942,0.68636215,0.11140875,0.48766482,0.44388866,E9JWj2aJAB0
0.10306609,0.3038397,0.16413476,0.14244497,0.23377751,0.13395129,0.44846743,0.23588742,uCna0wjKvt8
0.07213226,0.30761194,0.263611,0.15140693,0.46584594,0.34261146,0.3711226,0.31233242,WHJLwBhq8BY
0.090934165,0.2215862,0.01999182,0.14953107,0.40388235,0.0025529459,0.30265725,0.08998075,HawUwrefluQ
0.20567347,0.41527236,0.0056227,0.29520664,0.336489,0.055258267,0.42142776,0.26685783,hojs2LlMiEw
0.09319712,0.39979267,0.15684792,0.20098886,0.21050888,0.13940555,0.24131976,0.2521017,bK4lqasSe6o
0.05822262,0.17085227,0.13521013,0.086679675,0.10273998,0.30683765,0.22993883,0.19398442,r9tmg0giV2I
0.077539325,0.28023952,0.11600884,0.1246084,0.18390675,0.2634113,0.26360562,0.21738838,di5pZuo5noc
0.23574135,0.1333652,0.04818217,0.23005937,0.1947185,0.113660455,0.43308106,0.2413053,5z4Z4d2ALXE
0.15152715,0.53539217,0.2459383,0.26906973,0.48099786,0.07339907,0.34968153,0.28454545,AdpqEwBWT2o
0.19561793,0.18924254,0.20302857,0.17597336,0.24609555,0.09292319,0.3785327,0.2578283,u1WB_LUCLgc
0.20529263,0.3928213,0.23891698,0.43391028,0.381847,0.17198236,0.3929156,0.6151094,LD4S4Sxp-aQ
